Reder-Id,Review,Sesson.no,Completed
4771,5.4,3,1
4925,9.7,2,0
4905,2.1,4,1
4237,4,1,0
4249,7,5,1
4048,8.5,2,1
4280,1,3,0
4347,4.2,4,0
4377,3.47,1,1
4378,3.09,5,1
4975,8.57,2,0
4199,2.3,4,1
4661,8.58,1,0
4188,8.72,3,0
4453,1.18,5,1
4330,3,1,1
4192,9,2,0
4550,5,4,1
4426,6,5,0
4790,10,3,0
4534,2,2,1
4230,5,1,1
4298,8,4,0
4983,7,5,0
4154,3,3,1
4758,6,2,1
4390,9,1,1
4883,1,4,0
4352,4,5,1
4434,10,1,0
4449,2,2,0
4869,7,3,1
4842,8,5,1
4649,5,4,0
4261,3,1,1
4788,6,2,0
4511,9,3,0
4092,1,5,1
4144,4,4,1
4308,10,1,0
4493,2,2,0
4911,7,5,1
4987,5,4,1
4180,8,3,0
4056,3,1,0
4725,6,2,1
4557,9,5,1
4699,1,4,0
4151,4,3,1
4581,10,1,1
4803,2,2,0
4888,8,5,0
4139,7,4,1
4643,5,3,1
4176,3,1,0
4206,9,5,1
4637,6,2,0
4239,1,4,0
4351,4,1,1
4927,10,3,1
4387,2,5,0
4506,7,2,1
4856,8,4,0
4978,5,1,1
4171,3,3,0
4782,9,5,0
4900,1,4,1
4113,6,1,1
4774,4,2,0
4537,10,3,1
4943,2,5,0
4131,7,4,1
4897,8,1,0
4040,5,2,1
4491,3,5,1
4525,9,3,0
4399,1,4,0
4288,4,1,1
4273,10,2,1
4055,2,5,0
4962,8,3,0
4796,7,4,1
4446,5,1,1
4652,3,2,0
4510,6,5,1
4258,9,3,0
4472,1,4,1
4702,4,1,0
4319,10,2,0
4505,2,5,1
4749,7,3,1
4777,8,4,0
4664,5,1,1
4373,3,2,1
4344,6,5,0
4019,9,3,0
4715,1,4,1
4742,4,1,1
4730,10,2,0
4447,2,5,1
4881,7,4,0
4392,8,3,0
4425,5,1,1
4532,3,5,1
4346,6,2,0
4756,9,4,1
4801,1,1,0
4064,4,3,1
4572,10,5,1
4578,2,2,0
4601,7,4,1
4533,8,1,0
4118,5,3,1
4243,3,5,0
4327,9,2,0
4370,1,4,1
4872,4,1,1
4316,10,5,0
4114,2,3,0
4009,8,2,1
4397,7,4,1
4179,5,1,0
4159,3,3,1
4084,6,5,1
4497,9,2,0
4110,1,4,0
4189,4,1,1
4182,10,5,0
4539,2,4,1
4338,7,1,0
4630,8,2,1
4902,5,5,1
4193,3,4,0
4062,9,3,0
4321,1,1,1
4384,4,5,0
4850,10,2,1
4821,2,4,1
4960,8,1,0
4527,7,3,1
4361,5,5,0
4385,3,2,0
4713,6,4,1
4775,9,1,1
4870,1,3,0
4256,4,5,0
4965,10,2,1
4349,2,4,1
4982,7,1,1
4008,8,3,0
